id,name,category,aliases,description,parent_product_id
ai_power_supply,AI Power Supply,Power,AI server power;AI data center power,Power supply products and solutions for AI server and AI data center workloads,
data_center_power_solution,Data Center Power Solution,Power,Data center power;AI data center power,Power architecture and equipment for data center deployments,
high_voltage_dc_power,High Voltage DC Power,Power,800VDC;400VDC,High voltage DC power architecture for data center power delivery,
dc_dc_power_module,DC/DC Power Module,Power,DC/DC module;DC/DC converter,DC/DC power conversion module for rack and data center power systems,
power_distribution_module,Power Distribution Module,Power,PDM;PDB,Power distribution module for data center power architectures,
in_row_power_rack,In-row Power Rack,Power,1.1MW In-row Power Rack,In-row rack-level power system for high-density AI server deployments,
rack_power_supply,Rack Power Supply,Power,19-inch rack power supply;90kW DC/DC rack power supply;106kW AC/DC rack power supply,Rack-level AC/DC or DC/DC power supply product,
cold_plate,Cold Plate,Thermal,Liquid Cooling Cold Plate,Cold plate component used in liquid cooling systems,
coolant_distribution_unit,Coolant Distribution Unit,Thermal,CDU,Coolant distribution unit for liquid cooling systems,
dc_pump,DC Pump,Thermal,Direct current pump,DC pump component used in liquid cooling systems,
tlvr_inductor,TLVR Inductor,Passive Component,TLVR,Trans-inductor voltage regulator inductor for high-current power delivery,
power_capacitor_system,Power Capacitor System,Power,PCS;rack capacitor system,Power capacitor system for rack-level power stability,
ai_gpu,AI GPU,Semiconductor,GPU 加速器,用於 AI 訓練與推論的 GPU,
ai_server,AI Server,Server,AI 伺服器,搭載 AI 加速器的伺服器,
wafer_foundry_service,先進製程晶圓代工,Semiconductor Service,晶圓代工,先進製程晶圓代工服務,
mature_foundry_service,成熟製程晶圓代工,Semiconductor Service,,成熟與特殊製程晶圓代工服務,
osat_service,封裝測試服務,Semiconductor Service,封測,IC 封裝與測試服務,
cowos,CoWoS 先進封裝,Semiconductor Service,CoWoS,2.5D 先進封裝技術服務,
hbm,HBM,Memory,High Bandwidth Memory,高頻寬記憶體，AI GPU 關鍵組件,
dram,DRAM,Memory,,標準型動態隨機存取記憶體,
specialty_dram,利基型 DRAM,Memory,,利基型記憶體,
nor_flash,NOR Flash,Memory,,程式碼儲存快閃記憶體,
server_cpu,伺服器 CPU,Semiconductor,,伺服器中央處理器,
smartphone_soc,手機 SoC,Semiconductor,,智慧型手機系統單晶片,
display_driver_ic,顯示驅動 IC,Semiconductor,DDIC,面板顯示驅動晶片,
network_ic,網通 IC,Semiconductor,,乙太網路與無線網通晶片,
server_pcb,伺服器 PCB,Component,,伺服器用高層數印刷電路板,
server_power_supply,伺服器電源,Component,PSU,伺服器電源供應器,
thermal_module,散熱模組,Component,,氣冷散熱模組,
liquid_cooling,水冷散熱方案,Component,液冷,AI 伺服器液冷散熱系統,
high_speed_cable,高速傳輸線束,Component,,伺服器高速連接線束,
euv_scanner,EUV 曝光機,Equipment,EUV,極紫外光微影設備,
smartphone,智慧型手機,End Device,,智慧型手機終端產品,
financial_service,金融服務,Service,銀行服務,銀行存放款與企業金融服務,
insurance_service,保險服務,Service,壽險;產險,人壽與產物保險服務,
securities_service,證券與投資服務,Service,券商,證券經紀與投資銀行服務,
leasing_service,租賃與分期融資,Service,,設備租賃與分期付款融資服務,
telecom_service,電信服務,Service,行動通訊,行動與固網電信服務,
petrochemical_product,塑化產品,Material,塑膠原料,塑膠與石化中間原料,
refined_petroleum,煉油產品,Material,汽柴油,汽柴油等煉製油品,
steel_product,鋼鐵產品,Material,鋼板;鋼筋,鋼板、棒線等鋼鐵產品,
cement_product,水泥,Material,,水泥與預拌混凝土,
food_beverage_product,食品飲料,Consumer,,食品與飲料產品,
retail_service,零售通路服務,Service,便利商店,實體零售通路服務,
ecommerce_service,電商平台服務,Service,網購,電子商務平台服務,
functional_fabric,機能布料與成衣,Consumer,,機能性紡織布料與成衣,
footwear_manufacturing_service,製鞋代工服務,Service,,運動鞋與鞋類代工製造,
container_shipping_service,貨櫃航運服務,Service,,海運貨櫃運輸服務,
air_transport_service,航空運輸服務,Service,,客運與貨運航空服務,
automobile,汽車,End Device,,乘用車與商用車,
tire,輪胎,Component,,汽車與機車輪胎,
bicycle_product,自行車,End Device,,自行車與電動輔助自行車,
heavy_electric_equipment,重電設備,Equipment,變壓器;開關設備,變壓器與電力開關等重電設備,
wire_cable,電線電纜,Component,,電力與通訊線纜,
pneumatic_component,氣動元件,Component,,工業自動化氣動元件,
linear_guideway,線性傳動元件,Component,滾珠螺桿,線性滑軌與滾珠螺桿,
server_rail_kit,伺服器導軌,Component,滑軌,伺服器機櫃滑軌,
industrial_pc,工業電腦,End Device,IPC,工業自動化與嵌入式電腦,
test_equipment,量測與自動化測試設備,Equipment,ATE,電子量測與自動化測試設備,
networking_switch,網路交換器,End Device,Switch,資料中心與企業網路交換器,
notebook_pc,筆記型電腦,End Device,筆電,筆記型電腦產品,
motherboard_gpu_card,主機板與顯示卡,Component,板卡,PC 主機板與顯示卡,
panel,顯示面板,Component,LCD,TFT-LCD 顯示面板,
camera_lens,光學鏡頭,Component,,智慧型手機相機鏡頭,
passive_component_product,被動元件,Component,MLCC;晶片電阻,電阻電容等被動元件,
abf_substrate,ABF 載板,Component,IC 載板,高階 IC 封裝載板,
copper_clad_laminate,銅箔基板,Material,CCL,PCB 上游銅箔基板,
silicon_wafer,矽晶圓,Material,,半導體上游矽晶圓,
asic_design_service,ASIC 設計服務,Semiconductor Service,,客製化晶片設計服務,
silicon_ip,矽智財 IP,Semiconductor Service,,半導體矽智財授權,
nand_controller,NAND 控制晶片,Semiconductor,,快閃記憶體控制晶片,
bmc_chip,BMC 遠端管理晶片,Semiconductor,,伺服器基板管理控制晶片,
power_management_ic,電源管理 IC,Semiconductor,PMIC,電源管理晶片,
usb_interface_ic,高速介面 IC,Semiconductor,USB IC,USB 與高速傳輸介面晶片,
connector,連接器,Component,CPU Socket,連接器與 CPU 插槽,
vapor_chamber,均熱片,Component,VC,均熱片與散熱基板,
aerospace_component,航太零組件,Component,,航空器結構與發動機零組件,
cloud_infrastructure_service,Cloud Infrastructure Service,Service,IaaS;PaaS;cloud computing;AWS;Azure;Google Cloud;OCI,提供 compute、storage、networking、AI infrastructure 的 cloud 服務。,
enterprise_software,Enterprise Software,Software,SaaS;enterprise application;business software,企業營運、資料、流程與生產力軟體。,
online_advertising_service,Online Advertising Service,Service,digital ads;online ads,搜尋、社群、影音與 display advertising 服務。,
search_engine_service,Search Engine Service,Service,search engine,網路搜尋與資訊檢索服務。,
ecommerce_marketplace,Ecommerce Marketplace,Service,online marketplace;ecommerce,線上零售與第三方 marketplace 服務。,
social_media_platform,Social Media Platform,Service,social network;social app,社群、訊息與內容平台。,
electric_vehicle,Electric Vehicle,End Device,EV,電動車整車與相關平台。,
energy_storage_system,Energy Storage System,Energy,battery energy storage;BESS,電池儲能系統與能源管理設備。,
autonomous_driving_platform,Autonomous Driving Platform,Software,ADAS;self-driving,自動駕駛與車用 AI 軟硬體平台。,
custom_ai_accelerator,Custom AI Accelerator,Semiconductor,ASIC AI accelerator;custom silicon,客製化 AI accelerator 或 ASIC 晶片。,
database_software,Database Software,Software,database;DBMS,資料庫與資料管理軟體。,
streaming_service,Streaming Service,Service,video streaming;OTT,影音串流與訂閱內容服務。,
creative_software,Creative Software,Software,creative cloud;design software,設計、影像、文件與創意工作軟體。,
cybersecurity_software,Cybersecurity Software,Software,network security;security platform,網路安全、端點安全與雲端安全平台。,
analog_ic,Analog IC,Semiconductor,analog semiconductor;mixed signal,類比與 mixed-signal IC。,
semiconductor_equipment_product,Semiconductor Equipment,Equipment,wafer fabrication equipment;WFE,晶圓製造與 semiconductor process equipment。,
mobility_platform,Mobility Platform,Service,ride sharing;delivery marketplace,叫車、外送與 mobility marketplace 平台。,
payment_network,Payment Network,Service,card network;digital payments,信用卡網路、交易處理與 digital payment infrastructure。,
pharmaceutical_product,Pharmaceutical Product,Healthcare,medicine;drug;biopharma,"Prescription medicines, vaccines, and biopharmaceutical products.",
healthcare_service,Healthcare Service,Service,healthcare;care delivery;health services,"Healthcare delivery, clinical, pharmacy, and health services.",
health_insurance_service,Health Insurance Service,Service,managed care;health insurance,Health insurance and managed care services.,
medical_device,Medical Device,Healthcare,medtech;medical equipment,"Medical devices, instruments, and treatment systems.",
diagnostics_instrument,Diagnostics Instrument,Healthcare,diagnostics;lab instrument,"Diagnostics instruments, tests, and laboratory equipment.",
life_science_tool,Life Science Tool,Healthcare,life science tools;reagent;consumable,"Life science tools, reagents, consumables, and research services.",
surgical_robot,Surgical Robot,Healthcare,robotic surgery;da Vinci,Robotic-assisted surgical systems and related instruments.,
oil_gas_product,Oil and Gas Product,Energy,oil;natural gas;LNG,"Crude oil, natural gas, LNG, and upstream energy products.",
oilfield_service,Oilfield Service,Service,drilling;reservoir;production service,"Oilfield drilling, reservoir, production, and energy technology services.",
industrial_software,Industrial Software,Software,industrial digital;energy software,Industrial and energy software platforms.,
home_improvement_retail,Home Improvement Retail,Service,home improvement;building supply retail,"Retail services for home improvement, building products, tools, and contractor supplies.",
restaurant_service,Restaurant Service,Service,restaurant;quick service restaurant;coffee retail,"Restaurant, quick-service restaurant, coffee retail, and franchising services.",
beverage_product,Beverage Product,Consumer Goods,beverage;soft drink;coffee,"Beverage concentrates, syrups, coffee, and finished beverages.",
consumer_goods,Consumer Goods,Consumer Goods,household goods;personal care,"Packaged consumer goods for personal care, home care, baby care, and household use.",
data_analytics_software,Data Analytics Software,Software,data platform;AI software;analytics,"Data analytics, AI software, data platform, and financial information software.",
aerospace_defense_system,Aerospace Defense System,Aerospace,defense system;missile;avionics;engine,"Aerospace and defense systems, aircraft engines, avionics, missiles, and sensors.",
construction_mining_equipment,Construction and Mining Equipment,Equipment,construction equipment;mining equipment,"Construction, mining, engine, turbine, and heavy equipment products.",
industrial_equipment_product,Industrial Equipment,Equipment,industrial equipment;machinery,"Industrial machinery, automation equipment, and engineered equipment.",
industrial_automation_equipment,Industrial Automation Equipment,Equipment,automation;building automation;control system,"Industrial automation, building automation, and control equipment.",
agricultural_equipment,Agricultural Equipment,Equipment,agriculture equipment;precision agriculture,Agricultural equipment and precision agriculture technology.,
logistics_service,Logistics Service,Service,parcel delivery;logistics;supply chain,"Package delivery, freight forwarding, logistics, and supply-chain services.",
railroad_service,Railroad Service,Service,railroad;freight rail,Freight railroad transportation services.,
