"company_id","ticker","exchange","name","universe_type","priority","status","last_updated_at","last_source_refresh_at","latest_annual_source_id","latest_quarterly_source_id","data_depth","relationship_depth","next_action","notes"
"US_MSFT","MSFT","NASDAQ","Microsoft","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_msft_2025_10k","source_sec_msft_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
"US_GOOGL","GOOGL","NASDAQ","Alphabet","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_googl_2025_10k","source_sec_googl_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
"US_AMZN","AMZN","NASDAQ","Amazon","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_amzn_2025_10k","source_sec_amzn_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
"US_META","META","NASDAQ","Meta","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_meta_2025_10k","source_sec_meta_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
"US_TSLA","TSLA","NASDAQ","Tesla","US_LARGE_CAP_RESEARCH_UNIVERSE","high","candidate_relationships_loaded","2026-07-05","2026-07-05","source_sec_tsla_2025_10k","source_sec_tsla_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure+rag_candidate_relationships_round1","review loaded candidate relationships in Neo4j before verification; expand unresolved entity coverage before next extraction round","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05. RAG round1 loaded 1 reviewed llm_extraction candidate relationship(s) from ingestion/rag/extracted/us_round1_candidates_reviewed.jsonl on 2026-07-05."
"US_AVGO","AVGO","NASDAQ","Broadcom","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_avgo_2025_10k","source_sec_avgo_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
"US_ORCL","ORCL","NYSE","Oracle","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_orcl_2026_10k","source_sec_orcl_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
"US_CRM","CRM","NYSE","Salesforce","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_crm_2026_10k","source_sec_crm_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
"US_NFLX","NFLX","NASDAQ","Netflix","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_nflx_2025_10k","source_sec_nflx_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
"US_ADBE","ADBE","NASDAQ","Adobe","US_LARGE_CAP_RESEARCH_UNIVERSE","high","documents_indexed","2026-07-05","2026-07-05","source_sec_adbe_2025_10k","source_sec_adbe_2026_10q","company+official_sources+local_documents+rag_chunks+chroma_index","core_product_exposure_only","extract supply/customer/product/application relationships as candidate; review before verification","Use official SEC sources; keep extracted relationships candidate until reviewed. Official SEC documents downloaded, parsed, and fully indexed in Chroma on 2026-07-05."
